frame,id,x,y,z,brightness
1,43658,5.3519,62.3395,0.0000,1573.0000
1,48293,44.4782,48.4213,0.0000,239.0000
2,43658,5.3519,62.3395,0.0000,1059.0000
2,47720,20.0703,7.9231,0.0000,685.0000
2,48293,44.4782,48.4213,0.0000,2362.0000
3,45744,60.5021,20.8123,0.0000,250.0000
3,48293,44.4782,48.4213,0.0000,2405.0000
3,48932,57.1379,44.2156,0.0000,947.0000
4,45744,60.5021,20.8123,0.0000,2406.0000
4,48293,44.4782,48.4213,0.0000,2331.0000
5,45744,60.5021,20.8123,0.0000,2416.0000
5,48293,44.4782,48.4213,0.0000,2374.0000
6,45744,60.5021,20.8123,0.0000,2415.0000
6,48293,44.4782,48.4213,0.0000,1651.0000
7,45744,60.5021,20.8123,0.0000,2439.0000
8,45239,4.7619,0.2153,0.0000,157.0000
8,45744,60.5021,20.8123,0.0000,2413.0000
9,40296,26.9970,26.2058,0.0000,2407.0000
9,45239,4.7619,0.2153,0.0000,1467.0000
9,45594,32.4206,21.1800,0.0000,346.0000
9,45744,60.5021,20.8123,0.0000,1641.0000
9,46022,50.0965,41.4919,0.0000,1888.0000
10,40296,26.9970,26.2058,0.0000,148.0000
10,42867,2.6271,21.3746,0.0000,1360.0000
10,45594,32.4206,21.1800,0.0000,1278.0000
10,46022,50.0965,41.4919,0.0000,700.0000
11,42867,2.6271,21.3746,0.0000,1196.0000
11,43847,31.0052,24.1426,0.0000,804.0000
11,49964,28.5135,10.5154,0.0000,2355.0000
12,43847,31.0052,24.1426,0.0000,2371.0000
12,48768,51.3189,35.1481,0.0000,370.0000
12,49964,28.5135,10.5154,0.0000,1990.0000
13,43847,31.0052,24.1426,0.0000,2366.0000
13,48768,51.3189,35.1481,0.0000,2451.0000
14,43847,31.0052,24.1426,0.0000,2394.0000
14,48768,51.3189,35.1481,0.0000,2419.0000
15,42764,21.5353,39.2379,0.0000,967.0000
15,43847,31.0052,24.1426,0.0000,2404.0000
15,48768,51.3189,35.1481,0.0000,2396.0000
16,43847,31.0052,24.1426,0.0000,2431.0000
16,43949,57.6919,63.9566,0.0000,576.0000
16,48768,51.3189,35.1481,0.0000,2375.0000
17,40393,2.5489,60.5597,0.0000,1716.0000
17,42435,18.7268,42.1927,0.0000,605.0000
17,43847,31.0052,24.1426,0.0000,2446.0000
17,43949,57.6919,63.9566,0.0000,2355.0000
